Demographic Group,Asian,Caucasian,AfricanAmerican,Other,Hispanic,Group Type,Female,Male
AUC,0.600017409470752,0.6282982384980104,0.6162317823376409,0.6052910052910052,0.6890577507598784,Race,,
Accuracy,0.7365728900255755,0.6666666666666666,0.6970306995470559,0.7085427135678392,0.7068273092369478,Race,,
Sensitivity (TPR),0.4375,0.5089163237311386,0.5157232704402516,0.5,0.5714285714285714,Race,,
False Positive Rate,0.23676880222841226,0.3173009898229472,0.287199124726477,0.2804232804232804,0.2851063829787234,Race,,
False Negative Rate,0.5625,0.49108367626886146,0.48427672955974843,0.5,0.42857142857142855,Race,,
Positive Prediction Rate,0.2531969309462916,0.33497848645912426,0.30548565676899847,0.2914572864321608,0.30120481927710846,Race,,
AUC,,,,,,Gender,0.6353710670815679,0.6154153604362254
Accuracy,,,,,,Gender,0.6725741358133006,0.6810499105189899
Sensitivity (TPR),,,,,,Gender,0.5321969696969697,0.47836538461538464
False Positive Rate,,,,,,Gender,0.3130922452136917,0.3006720138738348
False Negative Rate,,,,,,Gender,0.4678030303030303,0.5216346153846154
Positive Prediction Rate,,,,,,Gender,0.3333918231268644,0.3153708490753629
